model,series,h,regime,n,mspe_ratio,rmae,sr,pt_p,dm_p
garch_t,brent_fut,5,covid,135,1.0012,0.999,0.519,,0.809
garch_t,brent_fut,5,ukraine,131,1.0203,1.0184,0.473,,0.675
garch_t,brent_fut,22,ALL,2806,1.1244,1.0577,0.449,1.0,0.964
garch_t,brent_fut,22,calm,2540,1.1513,1.0617,0.446,1.0,0.982
garch_t,brent_fut,22,covid,135,1.005,1.0022,0.444,1.0,0.808
garch_t,brent_fut,22,ukraine,131,1.1271,1.0698,0.496,,0.667
garch_t,natgas_fut,1,ALL,2806,1.0006,1.0,0.506,0.203,0.808
garch_t,natgas_fut,1,calm,2540,1.0011,1.0002,0.504,0.287,0.92
garch_t,natgas_fut,1,covid,135,1.0011,0.9996,0.504,,0.71
garch_t,natgas_fut,1,ukraine,131,0.9987,0.9989,0.55,,0.257
garch_t,natgas_fut,5,ALL,2806,1.0034,1.002,0.494,0.714,0.856
garch_t,natgas_fut,5,calm,2540,1.006,1.0028,0.491,0.809,0.97
garch_t,natgas_fut,5,covid,135,1.0088,1.0025,0.452,,0.812
garch_t,natgas_fut,5,ukraine,131,0.993,0.9967,0.603,,0.239
garch_t,natgas_fut,22,ALL,2806,1.0126,1.0003,0.529,0.001,0.81
garch_t,natgas_fut,22,calm,2540,1.0257,1.0045,0.518,0.031,0.948
garch_t,natgas_fut,22,covid,135,1.0266,0.9999,0.489,,0.702
garch_t,natgas_fut,22,ukraine,131,0.9787,0.9786,0.786,,0.275
garch_t,gold_fut,1,ALL,2804,0.9924,0.9951,0.52,0.436,0.073
garch_t,gold_fut,1,calm,2538,0.9916,0.9945,0.518,0.448,0.068
garch_t,gold_fut,1,covid,135,0.9985,0.9979,0.578,,0.209
garch_t,gold_fut,1,ukraine,131,1.0107,1.0024,0.496,,0.897
garch_t,gold_fut,5,ALL,2804,0.953,0.9815,0.541,0.228,0.016
garch_t,gold_fut,5,calm,2538,0.9473,0.9783,0.541,0.196,0.014
garch_t,gold_fut,5,covid,135,0.9934,0.9932,0.652,,0.147
garch_t,gold_fut,5,ukraine,131,1.0535,1.027,0.427,,0.881
garch_t,gold_fut,22,ALL,2804,0.7821,0.9397,0.575,0.0,0.024
garch_t,gold_fut,22,calm,2538,0.7626,0.9316,0.571,0.0,0.023
garch_t,gold_fut,22,covid,135,0.935,0.9605,0.8,,0.019
garch_t,gold_fut,22,ukraine,131,1.1433,1.0675,0.427,,0.783
garch_t,silver_fut,1,ALL,2804,0.9989,0.998,0.523,0.074,0.346
garch_t,silver_fut,1,calm,2538,0.9989,0.9976,0.526,0.05,0.343
garch_t,silver_fut,1,covid,135,0.9985,0.9994,0.541,,0.155
garch_t,silver_fut,1,ukraine,131,1.007,1.0038,0.443,,0.929
garch_t,silver_fut,5,ALL,2804,0.9927,0.9951,0.542,0.001,0.289
garch_t,silver_fut,5,calm,2538,0.9922,0.9941,0.546,0.0,0.285
garch_t,silver_fut,5,covid,135,0.9941,0.9963,0.615,,0.061
garch_t,silver_fut,5,ukraine,131,1.0325,1.0156,0.405,,0.909
garch_t,silver_fut,22,ALL,2804,0.9486,0.9877,0.543,0.001,0.143
garch_t,silver_fut,22,calm,2538,0.9441,0.9848,0.541,0.002,0.14
garch_t,silver_fut,22,covid,135,0.9794,0.9872,0.719,,0.147
garch_t,silver_fut,22,ukraine,131,1.0971,1.0411,0.405,,0.835
garch_t,copper_fut,1,ALL,2805,1.0001,1.0001,0.493,0.648,0.523
garch_t,copper_fut,1,calm,2539,0.9996,0.9998,0.497,0.448,0.414
garch_t,copper_fut,1,covid,135,1.002,1.0022,0.422,,0.844
garch_t,copper_fut,1,ukraine,131,1.0062,1.0023,0.481,,0.921
garch_t,copper_fut,5,ALL,2805,1.0007,0.9997,0.494,0.73,0.535
garch_t,copper_fut,5,calm,2539,0.998,0.9985,0.501,0.438,0.403
garch_t,copper_fut,5,covid,135,1.01,1.0081,0.385,,0.841
garch_t,copper_fut,5,ukraine,131,1.0295,1.0103,0.466,,0.898
garch_t,copper_fut,22,ALL,2805,0.9993,0.9957,0.494,0.785,0.491
garch_t,copper_fut,22,calm,2539,0.9846,0.9912,0.506,0.325,0.331
garch_t,copper_fut,22,covid,135,1.0181,1.0207,0.304,,0.629
garch_t,copper_fut,22,ukraine,131,1.0852,1.0267,0.458,,0.875
garch_t,platinum_fut,1,ALL,2803,0.9996,1.0005,0.483,0.916,0.361
garch_t,platinum_fut,1,calm,2537,0.9996,1.0004,0.489,0.752,0.348
garch_t,platinum_fut,1,covid,135,0.9999,1.0018,0.459,,0.481
garch_t,platinum_fut,1,ukraine,131,1.0013,1.0007,0.389,0.995,0.966
garch_t,platinum_fut,5,ALL,2803,0.9979,0.9996,0.502,0.336,0.307
