model,series,h,crps_ALL,n_valid_quantiles,crps_calm,crps_covid,crps_ukraine
chronos_2_lora,natgas_fut,22,0.2836,3,0.2629,0.1359,0.8367
chronos_2_lora,gold_fut,1,9.6968,3,9.5122,13.5968,9.2547
chronos_2_lora,gold_fut,5,20.5939,3,20.062,31.9632,19.1819
chronos_2_lora,gold_fut,22,40.8227,3,40.3841,46.9686,42.986
chronos_2_lora,silver_fut,1,0.2562,3,0.2547,0.3248,0.2128
chronos_2_lora,silver_fut,5,0.5687,3,0.5594,0.8374,0.471
chronos_2_lora,silver_fut,22,1.1285,3,1.08,2.0942,1.0719
chronos_2_lora,copper_fut,1,0.0262,3,0.026,0.0205,0.0363
chronos_2_lora,copper_fut,5,0.0571,3,0.0564,0.044,0.0831
chronos_2_lora,copper_fut,22,0.1166,3,0.1109,0.1147,0.2303
chronos_2_lora,platinum_fut,1,9.5914,3,9.3727,13.5141,9.7847
chronos_2_lora,platinum_fut,5,21.1691,3,20.4777,33.0252,22.3405
chronos_2_lora,platinum_fut,22,42.2894,3,41.1111,67.9295,38.6865
chronos_2_lora,corn_fut,1,3.5866,3,3.3882,2.4914,8.557
chronos_2_lora,corn_fut,5,7.9645,3,7.5165,6.1457,18.5112
chronos_2_lora,corn_fut,22,17.8222,3,16.5877,13.0965,46.5893
chronos_2_lora,wheat_fut,1,5.8881,3,5.1825,4.5277,20.9601
chronos_2_lora,wheat_fut,5,13.0075,3,11.1448,9.8652,52.3338
chronos_2_lora,wheat_fut,22,25.3664,3,21.2945,16.4681,113.4252
chronos_2_lora,soybean_fut,1,7.2502,3,6.9187,4.1148,16.9045
chronos_2_lora,soybean_fut,5,15.9593,3,15.2195,10.0931,36.3375
chronos_2_lora,soybean_fut,22,34.8694,3,34.9402,15.0373,53.9352
chronos_2_full,wti_fut,1,0.8072,3,0.707,1.5331,2.0024
chronos_2_full,wti_fut,5,1.6346,3,1.4465,2.8546,4.0234
chronos_2_full,wti_fut,22,3.4027,3,2.9957,7.2145,7.3632
chronos_2_full,brent_fut,1,0.7946,3,0.724,0.9968,1.9561
chronos_2_full,brent_fut,5,1.6425,3,1.472,2.3797,4.1884
chronos_2_full,brent_fut,22,3.384,3,3.0467,5.9121,7.318
chronos_2_full,natgas_fut,1,0.0688,3,0.0646,0.04,0.1801
chronos_2_full,natgas_fut,5,0.144,3,0.1347,0.0772,0.3936
chronos_2_full,natgas_fut,22,0.2833,3,0.2615,0.1274,0.8665
chronos_2_full,gold_fut,1,9.8152,3,9.5731,14.6817,9.4898
chronos_2_full,gold_fut,5,20.6311,3,20.0117,32.7272,20.1672
chronos_2_full,gold_fut,22,40.1187,3,39.4888,47.2042,45.0206
chronos_2_full,silver_fut,1,0.2562,3,0.254,0.3213,0.2324
chronos_2_full,silver_fut,5,0.5532,3,0.541,0.8275,0.5052
chronos_2_full,silver_fut,22,1.0808,3,1.0256,2.0768,1.1237
chronos_2_full,copper_fut,1,0.0273,3,0.027,0.0207,0.0403
chronos_2_full,copper_fut,5,0.0574,3,0.0568,0.0435,0.0845
chronos_2_full,copper_fut,22,0.1176,3,0.1108,0.1181,0.2499
chronos_2_full,platinum_fut,1,9.8846,3,9.6852,13.6652,9.8504
chronos_2_full,platinum_fut,5,21.1074,3,20.4188,32.5817,22.6193
chronos_2_full,platinum_fut,22,41.6569,3,40.2623,69.48,39.9934
chronos_2_full,corn_fut,1,3.8122,3,3.6145,2.4936,8.9987
chronos_2_full,corn_fut,5,8.0407,3,7.6065,5.962,18.5888
chronos_2_full,corn_fut,22,17.8285,3,16.499,12.5941,48.9595
chronos_2_full,wheat_fut,1,5.901,3,5.2439,4.4923,20.0837
chronos_2_full,wheat_fut,5,12.9223,3,11.1853,9.7948,49.7977
chronos_2_full,wheat_fut,22,25.417,3,21.5189,16.7447,109.8761
chronos_2_full,soybean_fut,1,7.8228,3,7.4804,4.1158,18.2765
chronos_2_full,soybean_fut,5,16.3126,3,15.5572,10.2669,37.179
chronos_2_full,soybean_fut,22,34.8989,3,34.9188,15.539,54.4637
timesfm_25,wti_fut,1,0.7663,3,0.6722,1.3794,1.9575
timesfm_25,wti_fut,5,1.5973,3,1.4182,2.7684,3.8624
timesfm_25,wti_fut,22,3.329,3,2.9363,7.1636,6.9888
timesfm_25,brent_fut,1,0.7427,3,0.6735,0.8727,1.9515
timesfm_25,brent_fut,5,1.5982,3,1.4377,2.3393,3.9459
timesfm_25,brent_fut,22,3.3294,3,2.9869,6.4115,6.7936
timesfm_25,natgas_fut,1,0.0669,3,0.0624,0.0392,0.1832
timesfm_25,natgas_fut,5,0.1426,3,0.1332,0.0769,0.3926
timesfm_25,natgas_fut,22,0.2798,3,0.256,0.1559,0.8697
timesfm_25,gold_fut,1,9.7002,3,9.5008,13.7608,9.3802
timesfm_25,gold_fut,5,21.0945,3,20.5556,33.1542,19.1064
timesfm_25,gold_fut,22,44.5458,3,43.8645,59.9261,41.8941
timesfm_25,silver_fut,1,0.2547,3,0.2538,0.3127,0.213
timesfm_25,silver_fut,5,0.5467,3,0.5358,0.825,0.4711
timesfm_25,silver_fut,22,1.1016,3,1.0481,2.1569,1.0516
timesfm_25,copper_fut,1,0.0263,3,0.0261,0.0196,0.038
timesfm_25,copper_fut,5,0.0572,3,0.0565,0.0436,0.0848
timesfm_25,copper_fut,22,0.1171,3,0.1118,0.115,0.2215
timesfm_25,platinum_fut,1,9.7391,3,9.562,12.8068,10.0067
timesfm_25,platinum_fut,5,20.9121,3,20.3333,30.6395,22.0973
timesfm_25,platinum_fut,22,42.264,3,41.6173,59.969,36.5439
timesfm_25,corn_fut,1,3.6108,3,3.4273,2.5139,8.2936
timesfm_25,corn_fut,5,8.0557,3,7.547,6.3565,19.6544
timesfm_25,corn_fut,22,17.9776,3,16.567,13.4857,49.913
timesfm_25,wheat_fut,1,5.8525,3,5.2191,4.6214,19.3936
timesfm_25,wheat_fut,5,12.7032,3,11.0381,9.3182,48.4496
timesfm_25,wheat_fut,22,24.587,3,20.9612,13.9292,105.8152
timesfm_25,soybean_fut,1,7.2802,3,6.9347,4.1272,17.2235
timesfm_25,soybean_fut,5,16.111,3,15.3859,9.9889,36.4679
timesfm_25,soybean_fut,22,34.8336,3,34.8266,14.6961,55.7227
moirai2_small,wti_fut,1,0.774,3,0.6657,1.5763,2.046
moirai2_small,wti_fut,5,1.6361,3,1.4364,2.8348,4.2717
moirai2_small,wti_fut,22,3.4814,3,3.0605,6.9591,8.0559
moirai2_small,brent_fut,1,0.7467,3,0.6666,0.9493,2.0906
moirai2_small,brent_fut,5,1.6516,3,1.4602,2.5256,4.462
moirai2_small,brent_fut,22,3.4796,3,3.1183,5.8125,8.0811
moirai2_small,natgas_fut,1,0.0671,3,0.0627,0.0387,0.1807
moirai2_small,natgas_fut,5,0.145,3,0.1351,0.0799,0.4023
moirai2_small,natgas_fut,22,0.2862,3,0.26,0.1472,0.9364
moirai2_small,gold_fut,1,9.5995,3,9.3865,14.0277,9.1632
moirai2_small,gold_fut,5,20.5862,3,20.043,32.2413,19.0996
moirai2_small,gold_fut,22,43.7362,3,43.5904,49.6179,40.4991
moirai2_small,silver_fut,1,0.2502,3,0.2492,0.312,0.2056
moirai2_small,silver_fut,5,0.5409,3,0.5313,0.797,0.4633
moirai2_small,silver_fut,22,1.1087,3,1.0569,2.1318,1.0589
moirai2_small,copper_fut,1,0.0263,3,0.026,0.0202,0.0389
moirai2_small,copper_fut,5,0.0577,3,0.0563,0.046,0.095
moirai2_small,copper_fut,22,0.1228,3,0.1148,0.1394,0.2626
moirai2_small,platinum_fut,1,9.6106,3,9.3961,13.4342,9.8259
moirai2_small,platinum_fut,5,21.032,3,20.2888,33.4104,22.6693
moirai2_small,platinum_fut,22,42.4051,3,41.1051,69.7733,39.3769
moirai2_small,corn_fut,1,3.5716,3,3.363,2.4832,8.7313
moirai2_small,corn_fut,5,8.0681,3,7.6079,5.9456,19.163
moirai2_small,corn_fut,22,18.2112,3,17.035,12.2664,47.1068
moirai2_small,wheat_fut,1,5.7383,3,5.1032,4.5341,19.2843
moirai2_small,wheat_fut,5,12.7014,3,11.0212,9.8342,48.2096
moirai2_small,wheat_fut,22,24.5065,3,20.7698,15.8778,105.7928
moirai2_small,soybean_fut,1,7.201,3,6.7871,4.1107,18.4045
moirai2_small,soybean_fut,5,15.9487,3,15.1875,10.1419,36.6798
moirai2_small,soybean_fut,22,34.8631,3,34.9286,15.7898,53.2481
