model,series,h,n,mspe_ratio,rmae,dm_p
chronos_bolt_small,corn_fut,1,106,1.126,1.0337,0.962
chronos_bolt_base,corn_fut,1,106,1.0335,1.0148,0.733
chronos_2,corn_fut,1,106,1.0173,1.0092,0.649
chronos_2_lora,corn_fut,1,106,1.0565,1.0412,0.902
chronos_2_full,corn_fut,1,106,1.0621,1.0558,0.954
timesfm_25,corn_fut,1,106,0.9711,0.9932,0.125
moirai2_small,corn_fut,1,106,1.0693,1.0412,0.94
ar5_returns,corn_fut,5,106,1.0033,1.0007,0.587
lear_lite,corn_fut,5,106,1.002,0.9987,0.548
garch_t,corn_fut,5,106,1.0056,0.9942,0.551
qr_ar,corn_fut,5,106,1.0081,0.9947,0.558
chronos_bolt_small,corn_fut,5,106,1.139,1.0577,0.933
chronos_bolt_base,corn_fut,5,106,1.0564,1.0171,0.751
chronos_2,corn_fut,5,106,1.0378,1.0106,0.791
chronos_2_lora,corn_fut,5,106,1.0751,1.0249,0.875
chronos_2_full,corn_fut,5,106,1.0363,1.0024,0.683
timesfm_25,corn_fut,5,106,0.9649,0.9801,0.134
moirai2_small,corn_fut,5,106,1.0986,1.0565,0.831
ar5_returns,corn_fut,22,106,0.9951,0.9871,0.45
lear_lite,corn_fut,22,106,1.0129,0.9943,0.588
garch_t,corn_fut,22,106,1.0264,0.9772,0.566
qr_ar,corn_fut,22,106,1.0285,0.9881,0.586
chronos_bolt_small,corn_fut,22,106,1.1358,1.0325,0.729
chronos_bolt_base,corn_fut,22,106,1.0193,0.9854,0.551
chronos_2,corn_fut,22,106,1.0194,0.9877,0.61
chronos_2_lora,corn_fut,22,106,1.0125,0.9804,0.564
chronos_2_full,corn_fut,22,106,0.982,0.9443,0.455
timesfm_25,corn_fut,22,106,0.9063,0.9597,0.096
moirai2_small,corn_fut,22,106,1.1865,1.1014,0.978
ar5_returns,wheat_fut,1,106,1.0057,1.0034,0.839
lear_lite,wheat_fut,1,106,1.0459,1.0293,0.999
garch_t,wheat_fut,1,106,1.001,1.0005,0.701
qr_ar,wheat_fut,1,106,1.002,0.9938,0.539
chronos_bolt_small,wheat_fut,1,106,1.0943,1.0478,0.946
chronos_bolt_base,wheat_fut,1,106,1.01,1.0079,0.596
chronos_2,wheat_fut,1,106,1.093,1.062,0.971
chronos_2_lora,wheat_fut,1,106,1.1055,1.0576,0.978
chronos_2_full,wheat_fut,1,106,1.1835,1.0958,0.998
timesfm_25,wheat_fut,1,106,1.01,0.9927,0.6
moirai2_small,wheat_fut,1,106,1.0785,1.0411,0.975
ar5_returns,wheat_fut,5,106,0.9995,0.9998,0.483
lear_lite,wheat_fut,5,106,0.9985,0.9992,0.4
garch_t,wheat_fut,5,106,1.0091,1.0072,0.865
qr_ar,wheat_fut,5,106,1.0256,1.0226,0.724
chronos_bolt_small,wheat_fut,5,106,1.1154,1.0854,0.885
chronos_bolt_base,wheat_fut,5,106,1.1862,1.0946,0.921
chronos_2,wheat_fut,5,106,1.1826,1.092,0.916
chronos_2_lora,wheat_fut,5,106,1.1491,1.0775,0.895
chronos_2_full,wheat_fut,5,106,1.1336,1.0708,0.924
timesfm_25,wheat_fut,5,106,1.1249,1.0742,0.88
moirai2_small,wheat_fut,5,106,1.0459,1.0335,0.691
ar5_returns,wheat_fut,22,106,0.9748,0.9862,0.115
lear_lite,wheat_fut,22,106,0.9951,0.9988,0.389
garch_t,wheat_fut,22,106,1.0633,1.0367,0.925
qr_ar,wheat_fut,22,106,1.038,1.0254,0.862
chronos_bolt_small,wheat_fut,22,106,1.2305,1.1023,0.788
