series,h,model,gw_stat,gw_p
corn_fut,5,chronos_bolt_base,8.08,0.0176
corn_fut,5,chronos_2,2.9,0.2343
corn_fut,5,chronos_2_lora,3.18,0.2036
corn_fut,5,chronos_2_full,4.93,0.085
corn_fut,5,timesfm_25,12.24,0.0022
corn_fut,5,moirai2_small,4.63,0.0988
corn_fut,22,ar5_returns,6.63,0.0364
corn_fut,22,lear_lite,4.06,0.1312
corn_fut,22,garch_t,6.04,0.0488
corn_fut,22,qr_ar,5.35,0.069
corn_fut,22,chronos_bolt_small,8.77,0.0125
corn_fut,22,chronos_bolt_base,7.43,0.0243
corn_fut,22,chronos_2,5.24,0.0728
corn_fut,22,chronos_2_lora,5.32,0.0698
corn_fut,22,chronos_2_full,8.28,0.0159
corn_fut,22,timesfm_25,5.08,0.0789
corn_fut,22,moirai2_small,5.25,0.0725
wheat_fut,1,ar5_returns,2.01,0.3663
wheat_fut,1,lear_lite,7.5,0.0236
wheat_fut,1,garch_t,1.99,0.37
wheat_fut,1,qr_ar,0.23,0.8894
wheat_fut,1,chronos_bolt_small,12.31,0.0021
wheat_fut,1,chronos_bolt_base,3.87,0.1444
wheat_fut,1,chronos_2,2.79,0.248
wheat_fut,1,chronos_2_lora,2.43,0.2973
wheat_fut,1,chronos_2_full,14.84,0.0006
wheat_fut,1,timesfm_25,1.63,0.4423
wheat_fut,1,moirai2_small,9.32,0.0095
wheat_fut,5,ar5_returns,2.59,0.2734
wheat_fut,5,lear_lite,6.47,0.0394
wheat_fut,5,garch_t,43.33,0.0
wheat_fut,5,qr_ar,3.58,0.1668
wheat_fut,5,chronos_bolt_small,4.26,0.1187
wheat_fut,5,chronos_bolt_base,2.33,0.3115
wheat_fut,5,chronos_2,1.65,0.4388
wheat_fut,5,chronos_2_lora,1.35,0.5087
wheat_fut,5,chronos_2_full,4.49,0.1062
wheat_fut,5,timesfm_25,1.62,0.4451
wheat_fut,5,moirai2_small,4.33,0.1145
wheat_fut,22,ar5_returns,3.13,0.2091
wheat_fut,22,lear_lite,2.22,0.3297
wheat_fut,22,garch_t,20.63,0.0
wheat_fut,22,qr_ar,2.28,0.3205
wheat_fut,22,chronos_bolt_small,3.83,0.1475
wheat_fut,22,chronos_bolt_base,5.23,0.0732
wheat_fut,22,chronos_2,1.77,0.4133
wheat_fut,22,chronos_2_lora,3.09,0.2129
wheat_fut,22,chronos_2_full,1.39,0.4996
wheat_fut,22,timesfm_25,2.46,0.2924
wheat_fut,22,moirai2_small,1.96,0.3753
soybean_fut,1,ar5_returns,0.11,0.9464
soybean_fut,1,lear_lite,4.56,0.1024
soybean_fut,1,garch_t,1.92,0.3824
soybean_fut,1,qr_ar,1.38,0.5025
soybean_fut,1,chronos_bolt_small,43.48,0.0
soybean_fut,1,chronos_bolt_base,60.66,0.0
soybean_fut,1,chronos_2,15.33,0.0005
soybean_fut,1,chronos_2_lora,24.79,0.0
soybean_fut,1,chronos_2_full,58.18,0.0
soybean_fut,1,timesfm_25,3.83,0.1474
soybean_fut,1,moirai2_small,34.04,0.0
soybean_fut,5,ar5_returns,10.45,0.0054
soybean_fut,5,lear_lite,25.07,0.0
soybean_fut,5,garch_t,42.62,0.0
soybean_fut,5,qr_ar,11.02,0.004
soybean_fut,5,chronos_bolt_small,13.01,0.0015
soybean_fut,5,chronos_bolt_base,28.63,0.0
soybean_fut,5,chronos_2,12.17,0.0023
soybean_fut,5,chronos_2_lora,13.28,0.0013
soybean_fut,5,chronos_2_full,15.42,0.0004
soybean_fut,5,timesfm_25,15.22,0.0005
soybean_fut,5,moirai2_small,23.96,0.0
soybean_fut,22,ar5_returns,15.56,0.0004
soybean_fut,22,lear_lite,13.37,0.0012
soybean_fut,22,garch_t,18.53,0.0001
soybean_fut,22,qr_ar,13.4,0.0012
soybean_fut,22,chronos_bolt_small,12.78,0.0017
soybean_fut,22,chronos_bolt_base,9.64,0.0081
soybean_fut,22,chronos_2,11.97,0.0025
soybean_fut,22,chronos_2_lora,12.32,0.0021
soybean_fut,22,chronos_2_full,13.21,0.0014
soybean_fut,22,timesfm_25,14.96,0.0006
soybean_fut,22,moirai2_small,10.62,0.0049
